personen_id;schreibweisen;quelle;anzahl_nennungen;erste_nennung;letzte_nennung;nennungsspanne_jahre;nennung_in_urkunden;nennung_in_buergerbuch;nennung_in_verlassenschaften;soziale_gruppe;beruf;unsicherheit_anmerkung
wolf_grabner;Wolf Grabner|Wolfganng Grabmer|Wolfganng Grabner;Bürgerbuch;5;1553;1562;9;;BB-0491|BB-0498|BB-0626|BB-0753|BB-0944;;buerger;Bäcker;
wolf_gradt;Wolf Gradt;Bürgerbuch;1;1555;1555;0;;BB-0606;;buerger;Schneider;
wolf_gramor;Wolf Gramor;Bürgerbuch;1;1553;1553;0;;BB-0518;;buerger;Bäcker;
wolf_greitner;Walf Greitner;Bürgerbuch;1;1589;1589;0;;BB-2143;;buerger;Schmied;
wolf_grismair;Wolff Grismair;Bürgerbuch;1;1573;1573;0;;BB-1423;;buerger;;
wolf_grueber;Wolf Gruebner|Wolff Grueber;Bürgerbuch;2;1586;1624;38;;BB-2054|BB-2768;;buerger;;
wolf_haefenperger;Wolf Häfenperger;Bürgerbuch;1;1589;1589;0;;BB-2172;;buerger;;
wolf_haidenreich;Wolffen Haidenreich;Bürgerbuch;1;1565;1565;0;;BB-1040;;buerger;;
wolf_haider;Wolf Haider;Bürgerbuch;1;1567;1567;0;;BB-1139;;buerger;Handschuhmacher, Schuster;
wolf_haltmair;Wolf Haltmair|Wolf Haltmayr;Bürgerbuch;2;1622;1622;0;;BB-2674|BB-2694;;buerger;Maurer;
wolf_haltmayr;Wolf Haltmayr;Bürgerbuch;1;1622;1622;0;;BB-2695;;buerger;;
wolf_hartman;Wolff Hartman;Bürgerbuch;1;1585;1585;0;;BB-2035;;buerger;Gürtler;
wolf_herantinger;Wolf Herantinger;Bürgerbuch;1;1562;1562;0;;BB-0939;;buerger;Weißgerber;
wolf_heyfelder;Wolff Heyfelder;Bürgerbuch;1;1579;1579;0;;BB-1819;;buerger;;
wolf_hoffstetter;Wolff Hofstetter;Bürgerbuch;1;1569;1569;0;;BB-1301;;buerger;;
wolf_hopfner;Wolff Hopfner;Bürgerbuch;1;1582;1582;0;;BB-1943;;buerger;Fleischhacker;
wolf_horandtn;Wolfn Horandtn;Bürgerbuch;1;1568;1568;0;;BB-1231;;buerger;;
wolf_huchss_ruechler;Wolf Huchß Rüchler;Bürgerbuch;1;1615;1615;0;;BB-2607;;buerger;Hutmacher;
wolf_huell;Wolff Hüll;Bürgerbuch;1;1583;1583;0;;BB-1972;;buerger;Taglöhner;
wolf_kaem;Wollff Khäm;Bürgerbuch;1;1563;1563;0;;BB-0996;;buerger;;
wolf_kaiser;Wolff Khaiser;Bürgerbuch;1;1589;1589;0;;BB-2180;;buerger;;
wolf_kalb;Wolff Kalb;Bürgerbuch;1;1578;1578;0;;BB-1761;;buerger;Hafner;
wolf_karl;Wolff Carl;Bürgerbuch;2;1579;1579;0;;BB-1775|BB-1810;;buerger;;
wolf_kazpendl;Wolff Kazpendl;Bürgerbuch;1;1565;1565;0;;BB-1078;;buerger;Klampferer;
wolf_kiendll;Wolff Khiendll;Bürgerbuch;1;1571;1571;0;;BB-1380;;buerger;Goldschmied;
wolf_kierperger;Wolf Khierperger;Bürgerbuch;1;1596;1596;0;;BB-2277;;buerger;Hauer;
wolf_kirchamers;Wolffen Khirchamers;Bürgerbuch;1;1561;1561;0;;BB-0887;;buerger;Kupferschmied;
wolf_kirchmair;Wolf Kirchmair|Wolff Kirchmair;Bürgerbuch;2;1588;1588;0;;BB-2097|BB-2121;;buerger;Hauer;
wolf_kirchperger;Wolf Khierchperger;Bürgerbuch;1;1596;1596;0;;BB-2288;;buerger;Hauer;
wolf_klain;Wolff Khlain;Bürgerbuch;1;1571;1571;0;;BB-1394;;buerger;Beutler;
wolf_kopferle;Wolf Kopferle;Bürgerbuch;2;1568;1568;0;;BB-1221|BB-1235;;buerger;Schneider;
wolf_kraa;Wolf Khraa;Bürgerbuch;1;1622;1622;0;;BB-2722;;buerger;Fischer;
wolf_kren;Wolff Khren;Bürgerbuch;1;1573;1573;0;;BB-1427;;buerger;;
wolf_krenn;Wolf Krenn;Urkunden;1;1549;1549;0;StaAKr-0812;;;buerger;;
wolf_kreuettner;Wolf Khreüttner;Bürgerbuch;1;1589;1589;0;;BB-2163;;buerger;Schmied;
wolf_kreuspeck;Wolff Kreuzpeckh;Bürgerbuch;1;1546;1546;0;;BB-0193;;buerger;Hufschmied;
wolf_lamrer;Wolff Lamrer;Bürgerbuch;1;1549;1549;0;;BB-0285;;buerger;;
wolf_landtsfuerst;Wolf Landtsfürst;Bürgerbuch;1;1596;1596;0;;BB-2299;;buerger;Kerzenmacher;
wolf_lebner;Wolff Lebner;Bürgerbuch;1;1584;1584;0;;BB-2022;;buerger;Hauer;
wolf_lehner;Wolff Lehner;Bürgerbuch;1;1548;1548;0;;BB-0255;;buerger;Schiffmann;
wolf_mayr;Wolff Mayr;Bürgerbuch;1;1567;1567;0;;BB-1172;;buerger;Hauer;
wolf_miendl;Wolff Miendl;Bürgerbuch;1;1568;1568;0;;BB-1286;;buerger;;
wolf_mosshamer;Wolff Moszhamer;Bürgerbuch;1;1597;1597;0;;BB-2315;;buerger;;
wolf_nader;Wolf Nader;Bürgerbuch;1;1622;1622;0;;BB-2706;;buerger;Hauer;
wolf_nadtnperger;Wolf Nadtnperger;Bürgerbuch;1;1586;1586;0;;BB-2061;;buerger;;
wolf_nagl;Wolff Nagl;Bürgerbuch;1;1606;1606;0;;BB-2431;;buerger;;
wolf_neslauer;Wolff Neslauer;Bürgerbuch;1;1611;1611;0;;BB-2500;;buerger;Hufschmied;
wolf_nesterer;Wolf Nesterer|Wolf Nestraer;Bürgerbuch;2;1589;1589;0;;BB-2138|BB-2162;;buerger;Geiger;
wolf_neumair;Wolff Neumayr;Bürgerbuch;1;1568;1568;0;;BB-1280;;buerger;;
wolf_obinger;Wolff Obinger;Bürgerbuch;1;1609;1609;0;;BB-2469;;buerger;;
wolf_palt;Wolff Palt;Bürgerbuch;1;1568;1568;0;;BB-1277;;buerger;;
wolf_pannapalck;Wolf Pannapalckh;Bürgerbuch;1;1551;1551;0;;BB-0405;;buerger;Tischler;
wolf_penckenhauser;Wolff Penckhenhauser;Bürgerbuch;1;1588;1588;0;;BB-2126;;buerger;;
wolf_perger;Wolff Perger;Bürgerbuch;1;1577;1577;0;;BB-1689;;buerger;Fischer;
wolf_pfaeffinger;Wolff Pfäffinger;Bürgerbuch;2;1574;1607;33;;BB-1526|BB-2440;;buerger;Goldschmied;
wolf_pischgater;Wolff Pischgater;Bürgerbuch;1;1583;1583;0;;BB-1986;;buerger;Goldschmied;
wolf_pittersperger;Wolff Pittersperger;Bürgerbuch;1;1578;1578;0;;BB-1760;;buerger;;
wolf_poecklpaur;Wolf Pöckhlpaur;Bürgerbuch;1;1622;1622;0;;BB-2702;;buerger;;
wolf_prandsteter;Wolff Prandsteter;Bürgerbuch;1;1569;1569;0;;BB-1299;;buerger;;
wolf_prandt;Wolff Prandt;Bürgerbuch;1;1581;1581;0;;BB-1895;;buerger;Schuster;
wolf_pranntstetter;Wolffn Prandstetter;Bürgerbuch;1;1568;1568;0;;BB-1233;;buerger;;
wolf_pruckner;Wolff Pruckhner;Bürgerbuch;1;1582;1582;0;;BB-1922;;buerger;;
wolf_puechamer;Wolff Puechamer;Bürgerbuch;1;1579;1579;0;;BB-1802;;buerger;;
wolf_puechhamer;Wolf Puechhamer;Bürgerbuch;1;1581;1581;0;;BB-1851;;buerger;;
wolf_puechhaurer;Wolff Puechhaurer;Bürgerbuch;1;1578;1578;0;;BB-1764;;buerger;;
wolf_pueckl;Wolff Pückhl;Bürgerbuch;1;1611;1611;0;;BB-2516;;buerger;Schlosser;
wolf_puerckhamer;Wolff Perckhamer;Bürgerbuch;1;1568;1568;0;;BB-1216;;buerger;Tuchmacher;
wolf_radtmaenndt;Wolf Radtmantl|Wolff Radtmänndt;Bürgerbuch;2;1587;1588;1;;BB-2081|BB-2123;;buerger;Binder;
wolf_raetsch;Wolff Rätsch;Bürgerbuch;1;1579;1579;0;;BB-1797;;buerger;Zinngießer;
wolf_raetschen;Wolf Rätschen;Bürgerbuch;1;1581;1581;0;;BB-1855;;buerger;Fuhrmann;
wolf_ragez;Wolff Ragez;Bürgerbuch;1;1585;1585;0;;BB-2047;;buerger;Maurer;
wolf_rebwasser;Wolf Rebwasser;Bürgerbuch;1;1552;1552;0;;BB-0461;;buerger;;
wolf_rettenbacher;Wolff Rettenbacher|Wolff Rettenpacher;Bürgerbuch;2;1568;1568;0;;BB-1250|BB-1284;;buerger;Haubenschmidt;
wolf_rizinger;Wolff Rizinger;Bürgerbuch;2;1576;1576;0;;BB-1583|BB-1606;;buerger;Zuckermacher;
wolf_rolman;Wolff Rolman;Bürgerbuch;1;1596;1596;0;;BB-2275;;buerger;Bäcker;
wolf_ropfer;Wolf Ropfer;Bürgerbuch;1;1625;1625;0;;BB-2787;;buerger;;
