orte_id;orte;lat;lon;haeufigkeit;orte_unsicher;unsicherheit_anmerkung
schwertberg;Schwertberg;48,2741408;14,5817826;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0717a).
schaerding;Schärding;48,4569975;13,4318;1;nein;
schoenberg_am_kamp;Schönberg am Kamp;48,5199338;15,6964473;2;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0276).
seefeld;Seefeld;;;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0627a).
seisenegg;Seisenegg;48,1411663;14,9174711;1;nein;
senftenberg;Senftenberg;48,45;15,5544;8;nein;
siena_italien;Siena, Italien;43,3186;11,3308;1;nein;
spitz_an_der_donau;Spitz an der Donau;48,3650322;15,4174633;3;nein;
statzendorf;Statzendorf;48,307679;15,6414443;6;nein;
stetteldorf_am_wagram;Stetteldorf am Wagram;48,4087806;16,0165889;2;nein;
steyr;Steyr;48,0390046;14,4191276;4;nein;
stift_garsten;Stift Garsten;;;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0138).
stinkenbrunn;Stinkenbrunn;47,8358338;16,4146427;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0360).
stockerau;Stockerau;48,3846124;16,2076303;1;nein;
stratzing_bei_krems;Stratzing bei Krems;48,4167;15,585;6;nein;
strass_im_strassertale;Straß im Straßertale;48,471718;15,7367004;2;nein;
struden;Struden;48,2301562;14,8945058;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0513).
stuttgart;Stuttgart;48,7784485;9,1800132;1;nein;
saeusenstein;Säusenstein;47,6540935;14,9962972;1;nein;
ternberg;Ternberg;47,9458416;14,357251;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0717a).
thallern;Thallern;48,385613;15,6456825;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0812).
thaya;Thaya;48,8554;15,2873;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0229).
topping_bei_langenlois;Topping bei Langenlois;48,465;15,69;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0572b).
trauttmansdorf;Trauttmansdorf;;;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0834).
trebic_tschechien;Trebic, Tschechien;49,2144;15,8796;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0236).
tulln;Tulln;48,3311702;16,05179;5;nein;
tabor;Tábor;49,4141533;14,6587234;1;nein;
ulrichskirchen;Ulrichskirchen;48,4008321;16,492071;1;nein;
venezia;Venezia;45,4046171;12,3105232;2;nein;
viessling;Vießling;48,3585799;15,3661739;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0816).
visegrad;Visegrád;47,7845811;18,9703373;1;nein;
vitis;Vitis;48,7589848;15,1819733;1;nein;
wagram;Wagram;48,2959872;16,5568452;1;nein;
waidhofen_an_der_ybbs;Waidhofen an der Ybbs;47,9512695;14,7445188;1;nein;
waldhausen_im_strudengau;Waldhausen im Strudengau;48,2731478;14,9479997;1;nein;
wallsee;Wallsee;48,1672231;14,7156931;4;nein;
weidling;Weidling;48,2966552;15,647216;1;nein;
weinzierl;Weinzierl;48,4317076;15,4339408;18;nein;
weiten;Weiten;48,2911987;15,265677;1;nein;
weitenegg;Weitenegg;48,2285241;15,289382;3;nein;
weitra;Weitra;48,7007937;14,8941385;5;nein;
weissenkirchen_in_der_wachau;Weißenkirchen in der Wachau;48,3972511;15,4695702;2;nein;
weissenstein;Weißenstein;49,4362416;15,508833;1;nein;
wels;Wels;48,1565472;14,0243752;3;nein;
werfenstein;Werfenstein;48,2298204;14,8922189;1;nein;
wetzmannsthal;Wetzmannsthal;48,3144788;15,6611225;1;nein;
weystenberg;Weystenberg;;;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0707a).
wien;Wien;48,2083537;16,3725042;296;nein;
wiener_neustadt;Wiener Neustadt;47,8131847;16,2441166;30;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0192).
wilhering;Wilhering;48,3235801;14,1921444;1;nein;
wolfpassing_bei_tulln;Wolfpassing bei Tulln;48,312831;16,1796506;1;nein;
worms;Worms;49,6302618;8,3620898;3;nein;
wullersdorf;Wullersdorf;48,6274252;16,1013122;3;ja;Ortsidentifikation in 3 Urkunden als unsicher markiert (Signatur(en): StaAKr-0303|StaAKr-0304|StaAKr-0716b).
woesendorf_in_der_wachau;Wösendorf in der Wachau;48,3808723;15,4536887;3;nein;
ybbs_an_der_donau;Ybbs an der Donau;48,1772445;15,0852856;11;nein;
zeiselberg_bei_gobelsburg;Zeiselberg bei Gobelsburg;48,4583;15,6983;1;nein;
zeiselmauer;Zeiselmauer;48,3275396;16,1762909;1;nein;
zelking;Zelking;48,1839363;15,2572856;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0144).
zell_am_see;Zell am See;47,3239636;12,7963165;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0570a).
zlata_koruna;Zlatá Koruna;48,8548698;14,3694134;2;ja;Ortsidentifikation in 2 Urkunden als unsicher markiert (Signatur(en): StaAKr-0759|StaAKr-0760).
znojmo;Znojmo;48,8554341;16,0489457;2;nein;
zwettl;Zwettl;48,602082;14,9851629;12;nein;
zoebing;Zöbing;48,4897078;15,6924909;3;nein;
sommerleiten_mistelbach;Sommerleiten, Mistelbach;48,5317;16,7453;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0559).
stein;Stein;48,40233;15,5817;58;nein;
blindenberg;Blindenberg;48,402473;15,581943;2;nein;
brixen;Brixen;46,7164;11,6558;1;nein;
muenchen;München;48,1351;11,582;1;nein;
bierbaum_am_kleebuehel;Bierbaum am Kleebühel;48,391;15,935;2;nein;
steinakirchen_am_forst;Steinakirchen am Forst;48,06667;15,04722;2;nein;
wieselburg;Wieselburg;48,129888;15,137659;2;nein;
bogget_belgien;Bógget, Belgien;;;1;ja;Koordinaten noch nicht ermittelt (Bocholt, belgisch Limburg).
neunkirchen_noe;Neunkirchen;;;1;ja;"Koordinaten nicht verifiziert. Zuordnung selbst als Vermutung markiert (StaAKr-0765): Regest nennt nur ""Neunkirchen"" ohne Zusatz, vermutlich Neunkirchen in Niederösterreich, nicht Oberneukirchen bei Urfahr."
markt_ascha;Markt Ascha;;;1;ja;"Koordinaten nicht verifiziert (Markt Ascha, Bayern, bei Bogen). Zuordnung selbst als Vermutung markiert (StaAKr-0914): Regest nennt ""von Markt Ascha"", vermutlich das bayerische Ascha, nicht Aschach an der Donau (Oberösterreich)."
ingolstadt;Ingolstadt;48,7665;11,4257;1;nein;
maigen;Maigen (Gemeinde Weinzierl am Walde);;;1;ja;Koordinaten noch nicht ermittelt.
marquartsurfar;Marquartsurfar;;;1;ja;Historischer Flurname/Insel bei Mautern, Koordinaten und exakte Lage nicht ermittelt.
st_georgen_an_der_traisen;St. Georgen an der Traisen;48,2039;15,6919;1;nein;
