signatur;datum;datum_normiert;datum_unsicher;jahr;orte;orte_unsicher;regest;personen;personen_id;personen_unsicher;kategorien;unsicherheit_anmerkung;foto_ordner
StaAKr-0473;1484 II 6;1484_02_06;nein;1484;Graz;nein;1484 II 6, Graz Kaiser Friedrich teilt den Städten mit, daß er Paulln Enngl zum Pfelger seines Schlosses zu Krems ernannt hat, desgleichen verleiht er ihm das Feldgericht daselbst. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Friedrich III.|Paul Engel;friedrich_iii|paul_engel;ja;Rechtswesen|Verwaltung;"Personenidentifikation unsicher: vermutlich Paul Engel (Regest nennt ""Paulln"")";StaAKr-0473
StaAKr-0474;1484 II 12;1484_02_12;nein;1484;Graz|Mautern an der Donau;nein;1484 II 12, Graz Kaiser Friedrich III. befiehlt den Städten im Vereine mit den Pfleger Paul Engl alles Nötige zur Sicherung derselben zu veranlassen, da sie die Feinde in Mauttern verstärken. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Friedrich III.|Paul Engel;friedrich_iii|paul_engel;ja;Politik|Rechtswesen;"Personenidentifikation unsicher: vermutlich Paul Engel (Regest nennt ""Paul"")";StaAKr-0474
StaAKr-0475;1484 III 29;1484_03_29;nein;1484;Melk;nein;"1484 III 29, Melk Heinrich Pruschenkh, Erbtruchseß in ""Steir"" bittet die Städte den Jörg Wordan, der sich im Arrest befindet, zu entlassen. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960)";Jörg Wordan|Heinrich Pruschinkch;joerg_wordan|heinrich_pruschinkch;ja;Rechtswesen;"Personenidentifikation unsicher: vermutlich Heinrich Pruschinkch (Regest nennt ""Heinrich"")";StaAKr-0475
StaAKr-0476;1484 IV 9;1484_04_09;nein;1484;Graz;nein;"1484 IV 9, Graz Kaiser Friedrich befiehlt, dem Paulln Enngl das ""Geslos zu Krembs"" und das Feldgericht ohne weiteres zu überlassen. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960)";Friedrich III.|Paul Engel;friedrich_iii|paul_engel;ja;Rechtswesen|Verwaltung;"Personenidentifikation unsicher: vermutlich Paul Engel (Regest nennt ""Paulln"")";StaAKr-0476
StaAKr-0477;1484 VI 4;1484_06_04;nein;1484;Graz;nein;1484 VI 4, Graz Quittung des Kaisers über 200 Pfund, gezahlt den von Krems und Stein aus den Ämtern, die sie zur Vewaltung innehaben. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Friedrich III.;friedrich_iii;nein;Vermögen und Finanzen|Verwaltung;;StaAKr-0477
StaAKr-0478;1484 VI 8;1484_06_08;nein;1484;Graz|Gaming;nein;"1484 VI 8, Graz Kaiser Friedrich III: befiehlt den Städten, dem ""Prior und Konvent zu Gemyng"" den gewöhnlichn jährl. Traid auf ihre Quittung zu geben. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960)";Friedrich III.;friedrich_iii;nein;Religion|Verwaltung|Wirtschaft;;StaAKr-0478
StaAKr-0479;1484 VI 14;1484_06_14;nein;1484;Wien;nein;"1484 VI 14, Wien Die Stadt Wien ersucht Krems und Stein im Hinblick auf die Notlage Österreichs um Rat und Hilfe; man soll einen Ort zur Beratung bestimmen. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960)";;;nein;Politik|Soziales Leben;;StaAKr-0479
StaAKr-0480;1484 IX 7;1484_09_07;nein;1484;Graz|Sarmingstein;nein;"1484 IX 7, Graz Kaiser Friedrich III. teilt Krems und Stein mit, daß er Hainrichen Pruschenkh, Freyherr zu Stettenberg, Rat, Pfleger zum Sermyngstein zum Anwalt seiner ""Sachen in Österreich"" ernannt hat und befiehlt, ihm alle Abgaben gegen Quittung zu reichen. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960)";Friedrich III.|Heinrich Pruschinkch;friedrich_iii|heinrich_pruschinkch;ja;Vermögen und Finanzen|Verwaltung;"Personenidentifikation unsicher: vermutlich Heinrich Pruschinkch (Regest nennt ""Pruschenkh"")";StaAKr-0480
StaAKr-0481;1484 XII 30;1484_12_30;nein;1484;Freistadt im Mühlviertel;nein;1484 XII 30, Freistadt Kaiser Friedrich befiehlt der Stadt Krems zu veranlassen, daß die Häuser, die den Stadttoren und Mauern zu nahe liegen, aus strategischen Gründen abzubrechen. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Friedrich III.;friedrich_iii;nein;Politik|Stadt und Raum|Verwaltung;;StaAKr-0481
StaAKr-0498;1485;1485_00_00;ja;1485;Krems;nein;1485 Kopie eines Mandats Friedrich an Krems und Stein mitzuwirken, daß sein getreuer Augustin Scharffenegker + Arhohs, Bürgers von Krems Tochter zur Ehe bekomme. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Friedrich III.|Augustin Scharffenegker|Arhohs;friedrich_iii|augustin_scharffenegker|arhohs_1485;nein;Bevölkerung und Bevölkerungsgruppen|Politik|Rechtswesen;Datierung unsicher: Nur Jahresangabe im Quellentext überliefert, kein exaktes Tages-/Monatsdatum.;StaAKr-0498
